,NAME,Player,Team,W,ERA,IP,HR,BB,SO,AVG,WHIP,NP,half_inning,NP_over_IP,SO_over_IP,BB_over_IP,RANK,TEAM,POS,SALARY,YEARS,TOTAL.VALUE,AVG.ANNUAL
224,"Rodriguez, F"," Rodriguez, F",DET,3,3.24,58.33333333,6,21,52,0.214,1.13,928,0.333333333,15.90857143,0.891428571,0.36,73,DET,RP,"$7,383,481 ",2 (2015-16),"$13,000,000 ","$6,500,000 "
225,"Rodriguez, F"," Rodriguez, F",OAK,2,4.2,40.66666667,3,17,37,0.21,1.16,660,0.666666667,16.2295082,0.909836066,0.418032787,218,OAK,RP,"$1,050,000 ",1 (2016),"$1,050,000 ","$1,050,000 "
226,"Rodriguez, F"," Rodriguez, F",OAK,2,4.2,40.66666667,3,17,37,0.21,1.16,660,0.666666667,16.2295082,0.909836066,0.418032787,73,DET,RP,"$7,383,481 ",2 (2015-16),"$13,000,000 ","$6,500,000 "
227,"Romero, E"," Romero, E",TB,2,5.91,45.66666667,7,28,50,0.244,1.53,811,0.666666667,17.75912409,1.094890511,0.613138686,370,TB,RP,"$510,000 ",1 (2016),"$510,000 ","$510,000 "
228,"Rondon, H"," Rondon, H",CHC,2,3.53,51,8,8,58,0.225,0.98,785,0,15.39215686,1.137254902,0.156862745,121,CHC,RP,"$4,200,000 ",1 (2016),"$4,200,000 ","$4,200,000 "
229,"Rosenthal, T"," Rosenthal, T",STL,2,4.46,40.33333333,3,29,56,0.293,1.91,858,0.333333333,21.27272727,1.388429752,0.719008264,96,STL,RP,"$5,600,000 ",1 (2016),"$5,600,000 ","$5,600,000 "
230,"Rusin, C"," Rusin, C",COL,3,3.74,84.33333333,5,23,69,0.259,1.25,1264,0.333333333,14.98814229,0.818181818,0.272727273,347,COL,RP,"$512,500 ",1 (2016),"$512,500 ","$512,500 "
231,"Ryan, K"," Ryan, K",DET,4,3.07,55.66666667,2,15,35,0.234,1.13,837,0.666666667,15.03592814,0.628742515,0.269461078,379,DET,RP,"$509,500 ",1 (2016),"$509,500 ","$509,500 "
232,"Rzepczynski, M"," Rzepczynski, M",WSH,1,2.64,47.66666667,1,29,46,0.256,1.57,840,0.666666667,17.62237762,0.965034965,0.608391608,153,OAK,RP,"$2,950,000 ",1 (2016),"$2,950,000 ","$2,950,000 "
233,"Sabathia, C"," Sabathia, C",NYY,9,3.91,179.6666667,22,65,152,0.25,1.32,2910,0.666666667,16.19666048,0.846011132,0.361781076,6,NYY,SP,"$25,000,000 ",5 (2012-16),"$122,000,000 ","$24,400,000 "
234,"Salas, F"," Salas, F",NYM,3,3.91,73.66666667,12,19,64,0.232,1.11,1212,0.666666667,16.45248869,0.868778281,0.257918552,168,LAA,RP,"$2,400,000 ",1 (2016),"$2,400,000 ","$2,400,000 "
235,"Salazar, D"," Salazar, D",CLE,11,3.87,137.3333333,16,63,161,0.235,1.34,2403,0.333333333,17.49757282,1.172330097,0.458737864,260,CLE,SP,"$536,200 ",1 (2016),"$536,200 ","$536,200 "
236,"Sale, C"," Sale, C",CWS,17,3.34,226.6666667,27,45,233,0.227,1.04,3431,0.666666667,15.13676471,1.027941176,0.198529412,57,CWS,SP,"$9,150,000 ",5 (2013-17),"$32,500,000 ","$6,500,000 "
237,"Samardzija, J"," Samardzija, J",SF,12,3.81,203.3333333,24,54,167,0.249,1.2,3190,0.333333333,15.68852459,0.821311475,0.26557377,45,SF,SP,"$10,800,000 ",5 (2016-20),"$90,000,000 ","$18,000,000 "
238,"Sampson, K"," Sampson, K",CIN,0,4.35,39.33333333,9,27,42,0.255,1.7,796,0.333333333,20.23728814,1.06779661,0.686440678,402,CIN,SP,"$507,500 ",1 (2016),"$507,500 ","$507,500 "
239,"Sanchez, A"," Sanchez, A",DET,7,5.87,153.3333333,30,53,135,0.285,1.46,2577,0.333333333,16.80652174,0.880434783,0.345652174,317,TOR,SP,"$517,800 ",1 (2016),"$517,800 ","$517,800 "
240,"Sanchez, A"," Sanchez, A",DET,7,5.87,153.3333333,30,53,135,0.285,1.46,2577,0.333333333,16.80652174,0.880434783,0.345652174,21,DET,SP,"$16,800,000 ",5 (2013-17),"$80,000,000 ","$16,000,000 "
241,"Sanchez, A"," Sanchez, A",TOR,15,3,192,15,63,161,0.224,1.17,2919,0,15.203125,0.838541667,0.328125,317,TOR,SP,"$517,800 ",1 (2016),"$517,800 ","$517,800 "
242,"Sanchez, A"," Sanchez, A",TOR,15,3,192,15,63,161,0.224,1.17,2919,0,15.203125,0.838541667,0.328125,21,DET,SP,"$16,800,000 ",5 (2013-17),"$80,000,000 ","$16,000,000 "
243,"Santana, E"," Santana, E",MIN,7,3.38,181.3333333,19,53,149,0.245,1.22,2931,0.333333333,16.16360294,0.821691176,0.292279412,28,MIN,SP,"$13,500,000 ",4 (2015-18),"$55,000,000 ","$13,750,000 "
244,"Santiago, H"," Santiago, H",MIN,13,4.7,182,33,79,144,0.245,1.36,3172,0,17.42857143,0.791208791,0.434065934,105,LAA,SP,"$5,000,000 ",1 (2016),"$5,000,000 ","$5,000,000 "
245,"Scherzer, M"," Scherzer, M",WSH,20,2.96,228.3333333,31,56,284,0.199,0.97,3563,0.333333333,15.60437956,1.24379562,0.245255474,9,WSH,SP,"$22,142,857 ",7 (2015-21),"$210,000,000 ","$30,000,000 "
